Covidence #,Study ID,int_x,int_sd,con_x,con_sd,int_n,con_n,outcome
439,Neto 2023,3.5,0.7,3.8,1.5,14,14,comfort
14,Podlogar 2022,3.3,0.7,3.1,0.6,10,10,comfort
7,Bray 2024,2.8,0.4,2.5,0.5,10,10,comfort
2,Vogel 2023,7.714285714,1.772810521,7.357142857,2.09787962,14,14,comfort
